,Tên BTL
0,"Xây dựng  mô hình dự báo giá nhà trên/m2 của bài toán mua bán nhà mặt phố Quận Hà Đông
"
1,"Xây dựng  mô hình dự báo giá nhà trên/m2 của bài toán mua bán đất Huyện Thạch Thất
"
2,Xây dựng  mô hình dự báo giá nhà trên/m2 của bài toán mua bán nhà mặt phố Quận Đống Đa
3,"Xây dựng  mô hình dự báo giá nhà trên/m2 của bài toán mua bán Chung Cư Quận Tây Hồ
"
4,"Xây dựng  mô hình dự báo giá nhà trên/m2 của bài toán mua bán đấtQuận Hà Đông
"
5,"Xây dựng  mô hình dự báo giá nhà trên/m2 của bài toán mua bán Chung Cư Quận Nam Từ Liêm
"
6,"Xây dựng  mô hình dự báo giá nhà trên/m2 của bài toán mua bán Chung Cư Quận Hà Đông  
"
7,"Xây dựng  mô hình dự báo giá nhà trên/m2 của bài toán mua bán nhà mặt phố Quận Nam Từ Liêm
"
8,"Xây dựng  mô hình dự báo giá nhà trên/m2 của bài toán mua bán Chung Cư Quận Bắc Từ Liêm 
"
9,"Xây dựng  mô hình dự báo giá nhà trên/m2 của bài toán mua bán đất Quận Long Biên
"
10,"Xây dựng  mô hình dự báo giá nhà trên/m2 của bài toán mua bán nhà mặt phố Quận Hai Bà Trưng
"
11,"Xây dựng  mô hình dự báo giá nhà trên/m2 của bài toán mua bán Chung Cư Quận Hoàng Mai
"
12,"Xây dựng  mô hình dự báo giá nhà trên/m2 của bài toán mua bán đất Quận Bắc Từ Liêm
"
13,"Xây dựng  mô hình dự báo giá nhà trên/m2 của bài toán mua bán Chung Cư Quận Đống Đa 
"
14,"Xây dựng  mô hình dự báo giá nhà trên/m2 của bài toán mua bán Chung Cư Quận Thanh Xuân
"
15,"Xây dựng  mô hình dự báo giá nhà trên/m2 của bài toán mua bán nhà mặt phố Quận Thanh Xuân
"
16,"Xây dựng  mô hình dự báo giá nhà trên/m2 của bài toán mua bán Chung Cư Quận Ba Đình    
"
17,"Xây dựng  mô hình dự báo giá nhà trên/m2 của bài toán mua bán đất Quận Nam Từ Liêm
"
18,"Xây dựng  mô hình dự báo giá nhà trên/m2 của bài toán mua bán đất Huyện Đông Anh
"
19,"Xây dựng  mô hình dự báo giá nhà trên/m2 của bài toán mua bán nhà mặt phố Quận Long Biên
"
20,"Xây dựng  mô hình dự báo giá nhà trên/m2 của bài toán mua bán đất Huyện Gia Lâm
"
21,"Xây dựng  mô hình dự báo giá nhà trên/m2 của bài toán mua bán nhà mặt phố Quận Hoàn Kiếm
"
22,"Xây dựng  mô hình dự báo giá nhà trên/m2 của bài toán mua bán nhà mặt phố Quận Tây Hồ 
"
23,"Xây dựng  mô hình dự báo giá nhà trên/m2 của bài toán mua bán nhà mặt phố Quận Ba Đình
"
24,"Xây dựng  mô hình dự báo giá nhà trên/m2 của bài toán mua bán đất Huyện Hoài Đức
"
25,"Xây dựng  mô hình dự báo giá nhà trên/m2 của bài toán mua bán nhà mặt phố Quận Hoàng Mai
"
26,"Xây dựng  mô hình dự báo giá nhà trên/m2 của bài toán mua bán nhà mặt phố Quận Cầu Giấy
"
27,"Xây dựng  mô hình dự báo giá nhà trên/m2 của bài toán mua bán Chung Cư Quận Hai Bà Trưng
"
28,"Xây dựng  mô hình dự báo giá nhà trên/m2 của bài toán mua bán Chung Cư Quận Long Biên
"
29,"Xây dựng  mô hình dự báo giá nhà trên/m2 của bài toán mua bán Chung Cư Quận Cầu Giấy   
"
